date,geo,country,pca_raw,wage_pressure_index,wage_pressure_ma3m,wage_pressure_ma12m
2004-01-01,DE,Germany,-3.9696,0,0,0
2004-02-01,DE,Germany,-3.6326,5.1528,2.5764,2.5764
2004-03-01,DE,Germany,-3.6364,5.0945,3.4158,3.4158
2004-04-01,DE,Germany,-3.5773,5.9971,5.4148,4.0611
2004-05-01,DE,Germany,-3.4829,7.4414,6.1777,4.7372
2004-06-01,DE,Germany,-3.4003,8.7029,7.3805,5.3981
2004-07-01,DE,Germany,-3.3185,9.9548,8.6997,6.0491
2004-08-01,DE,Germany,-3.2596,10.854,9.8372,6.6497
2004-09-01,DE,Germany,-3.2394,11.1628,10.6572,7.1511
2004-10-01,DE,Germany,-3.2829,10.4987,10.8385,7.4859
2004-11-01,DE,Germany,-3.3326,9.7384,10.4666,7.6907
2004-12-01,DE,Germany,-3.3533,9.4223,9.8865,7.835
2005-01-01,DE,Germany,-3.2763,10.6,9.9202,8.7183
2005-02-01,DE,Germany,-3.2152,11.5337,10.5187,9.25
2005-03-01,DE,Germany,-3.1003,13.29,11.8079,9.933
2005-04-01,DE,Germany,-3.055,13.9833,12.9356,10.5985
2005-05-01,DE,Germany,-3.0824,13.5635,13.6123,11.1087
2005-06-01,DE,Germany,-3.112,13.1114,13.5527,11.4761
2005-07-01,DE,Germany,-3.0855,13.5164,13.3971,11.7729
2005-08-01,DE,Germany,-2.9991,14.8376,13.8218,12.1048
2005-09-01,DE,Germany,-2.8882,16.5328,14.9623,12.5523
2005-10-01,DE,Germany,-2.7144,19.1891,16.8531,13.2765
2005-11-01,DE,Germany,-2.5163,22.2182,19.3133,14.3165
2005-12-01,DE,Germany,-2.3562,24.6663,22.0245,15.5868
2006-01-01,DE,Germany,-2.2548,26.2167,24.3671,16.8882
2006-02-01,DE,Germany,-2.2039,26.9938,25.9589,18.1766
2006-03-01,DE,Germany,-2.1787,27.3795,26.8633,19.3507
2006-04-01,DE,Germany,-2.1081,28.4585,27.6106,20.557
2006-05-01,DE,Germany,-1.943,30.9823,28.9401,22.0085
2006-06-01,DE,Germany,-1.7543,33.8685,31.1031,23.7383
2006-07-01,DE,Germany,-1.6623000000000001,35.2746,33.3751,25.5515
2006-08-01,DE,Germany,-1.6595,35.317,34.8201,27.2581
2006-09-01,DE,Germany,-1.649,35.4774,35.3563,28.8368
2006-10-01,DE,Germany,-1.6231,35.8739,35.5561,30.2272
2006-11-01,DE,Germany,-1.6076,36.1108,35.8207,31.385
2006-12-01,DE,Germany,-1.5719,36.6558,36.2135,32.3841
2007-01-01,DE,Germany,-1.5231,37.4019,36.7228,33.3162
2007-02-01,DE,Germany,-1.4777,38.0963,37.3846,34.2414
2007-03-01,DE,Germany,-1.4225,38.9405,38.1462,35.2048
2007-04-01,DE,Germany,-1.3567,39.9463,38.9943,36.1621
2007-05-01,DE,Germany,-1.3648,39.8221,39.5696,36.8988
2007-06-01,DE,Germany,-1.4076,39.1679,39.6454,37.3404
2007-07-01,DE,Germany,-1.4004,39.2782,39.4227,37.674
2007-08-01,DE,Germany,-1.3421,40.1698,39.5386,38.0784
2007-09-01,DE,Germany,-1.2891,40.9802,40.1427,38.537
2007-10-01,DE,Germany,-1.264,41.3629,40.8376,38.9944
2007-11-01,DE,Germany,-1.2368,41.7801,41.3744,39.4668
