Date,Country,Geo,Term,Interest
2004-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,7.55
2004-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.62
2004-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.04
2004-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.01
2004-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.89
2004-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.45
2004-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.59
2004-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.91
2004-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.72
2004-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.03
2004-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.74
2004-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.88
2005-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.63
2005-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.49
2005-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.33
2005-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.3
2005-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.41
2005-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.54
2005-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.98
2005-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.44
2005-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.45
2005-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.01
2005-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.29
2005-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.33
2006-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.12
2006-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.27
2006-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,0.39
2006-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,0.05
2006-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,0
2006-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,0.25
2006-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.1
2006-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,1.99
2006-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,2.57
2006-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.1
2006-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,3.66
2006-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.28
2007-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.04
2007-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.93
2007-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,7.02
2007-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,8.29
2007-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,10.11
2007-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,11.7
2007-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,12.25
2007-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,12.63
2007-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,13.24
2007-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,14.04
2007-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,14.9
2007-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,15.33
2008-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,16.04
2008-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,16.87
2008-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,17.56
2008-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,18.77
2008-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,20.02
2008-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,21.12
2008-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.09
2008-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.53
2008-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.62
2008-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.4
2008-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,21.9
2008-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,21.38
2009-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,20.52
2009-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,19.79
2009-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,19.28
2009-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,17.75
2009-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,15.27
2009-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,12.59
2009-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,10.47
2009-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,9.2
2009-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,8.13
2009-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,7.01
2009-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,6.17
2009-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.83
2010-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.73
2010-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.3
2010-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.54
2010-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.22
2010-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,4.66
2010-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,5.69
2010-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,6.61
2010-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,7.22
2010-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,8.1
2010-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,9.23
2010-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,10.37
2010-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,11.48
2011-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,12.57
2011-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,13.98
2011-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,15.64
2011-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,17.01
2011-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,17.8
2011-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,18.27
2011-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,19.01
2011-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,19.83
2011-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,20.44
2011-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,21.33
2011-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.27
2011-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,22.97
2012-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,23.63
2012-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,24
2012-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,24.28
2012-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,25.27
2012-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,27.09
2012-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,28.9
2012-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,30.16
2012-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,31.24
2012-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.15
2012-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.53
2012-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.62
2012-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.77
2013-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.86
2013-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.19
2013-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.75
2013-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.59
2013-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.89
2013-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.54
2013-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.52
2013-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.53
2013-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.59
2013-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.72
2013-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.78
2013-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.82
2014-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.09
2014-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.98
2014-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.62
2014-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.13
2014-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.69
2014-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.7
2014-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.76
2014-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.83
2014-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.87
2014-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,34.26
2014-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.18
2014-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36
2015-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36.43
2015-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.36
2015-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,38.4
2015-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,38.44
2015-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,38.21
2015-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.96
2015-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.45
2015-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.27
2015-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.33
2015-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.11
2015-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36.6
2015-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36.29
2016-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36.18
2016-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.72
2016-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.04
2016-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.09
2016-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.98
2016-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.39
2016-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,38.84
2016-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,39.73
2016-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.31
2016-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.63
2016-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.7
2016-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.04
2017-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.66
2017-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,42.53
2017-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,43.27
2017-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,42.91
2017-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.72
2017-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.53
2017-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,39.64
2017-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,39.02
2017-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,38.73
2017-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,39.34
2017-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.21
2017-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.45
2018-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.43
2018-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.15
2018-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,40.37
2018-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,42.43
2018-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,45.17
2018-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,47.32
2018-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,49.09
2018-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,51.01
2018-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,52.58
2018-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,53.25
2018-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,53.83
2018-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,54.68
2019-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,55.35
2019-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,56.76
2019-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,58.93
2019-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,59.82
2019-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,59.65
2019-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,59.48
2019-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,59.17
2019-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,58.33
2019-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,56.98
2019-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,55.48
2019-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,54.2
2019-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,53.27
2020-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,52.49
2020-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,50.48
2020-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,46.15
2020-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.42
2020-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,37.83
2020-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,35.37
2020-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.71
2020-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.69
2020-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,32.84
2020-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.64
2020-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.81
2020-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.54
2021-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,33.41
2021-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,34.02
2021-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,36.18
2021-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,39.11
2021-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.07
2021-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,41.68
2021-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,42.19
2021-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,42.94
2021-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,43.52
2021-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,44.88
2021-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,47.35
2021-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,49.84
2022-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,52.11
2022-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,54.4
2022-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,56.2
2022-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,57.69
2022-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,60.67
2022-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,65.12
2022-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,69.3
2022-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,73.31
2022-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,77.01
2022-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,79.23
2022-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,80.51
2022-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.59
2023-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,82.52
2023-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,83.75
2023-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,86.7
2023-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,91.34
2023-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,94.96
2023-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,96.63
2023-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,97.07
2023-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,96.48
2023-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,95.75
2023-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,95.35
2023-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,95.57
2023-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,97.2
2024-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,99.08
2024-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,100
2024-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,98.72
2024-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,94.61
2024-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,89.91
2024-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,86.18
2024-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,83.57
2024-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.9
2024-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,80.51
2024-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,80.02
2024-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,78.98
2024-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,76.52
2025-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,74.51
2025-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,72.71
2025-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,70.61
2025-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,69.62
2025-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,69.9
2025-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,71.7
2025-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,75.41
2025-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,79.17
2025-09-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,80.87
2025-10-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.17
2025-11-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.48
2025-12-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.78
2026-01-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,82.02
2026-02-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,83.36
2026-03-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,86.41
2026-04-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,90.04
2026-05-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,91.76
2026-06-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,90.4
2026-07-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,86.45
2026-08-01,Germany,DE,Gehaltserhöhung + Lohnerhöhung,81.67
2004-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,0
2004-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,12.65
2004-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,11.79
2004-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,12.28
2004-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,13.53
2004-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,15.5
2004-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,18.38
2004-08-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,20.41
2004-09-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,21.78
2004-10-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,20.65
2004-11-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,17.99
2004-12-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,16.14
2005-01-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,18.28
2005-02-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,20.63
2005-03-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,25.15
2005-04-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,27.3
2005-05-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,27.18
2005-06-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,27.13
2005-07-01,Germany,DE,Gehaltsverhandlung + Gehalt verhandeln,29.47
